i,time
100,0.0001
150,0.0004
200,0.0007
250,0.0012
300,0.0022
350,0.0026
400,0.0037
450,0.0046
500,0.0067
550,0.0080
600,0.0093
650,0.0109
700,0.0133
750,0.0176
800,0.0173
850,0.0212
900,0.0234
950,0.0270
1000,0.0324
1050,0.0345
1100,0.0375
1150,0.0409
1200,0.0448
1250,0.0509
1300,0.0614
1350,0.0687
1400,0.0682
1450,0.0828
1500,0.0825
1550,0.0818
1600,0.0856
1650,0.0914
1700,0.1054
1750,0.1059
1800,0.1100
1850,0.1370
1900,0.1280
1950,0.1372
2000,0.1441
2050,0.1547
2100,0.1633
2150,0.1706
2200,0.1798
2250,0.1880
2300,0.1904
2350,0.2002
2400,0.2176
2450,0.2117
2500,0.2406
2550,0.2284
2600,0.2534
2650,0.2771
2700,0.2795
2750,0.2863
2800,0.3061
2850,0.3236
2900,0.3278
2950,0.3483
